fishery,index,n,lambda_raw_mean,source_sigma,source_flag92,sigma_mle,recommended_flag92,source_job,lambda_convention
29,R1,292,1.06073133485787,0.35,35,0.381872619468522,38,12306,fishery-mean-normalized
30,R2,292,1.02266273212514,0.24,24,0.254966857381083,25,12306,fishery-mean-normalized
31,R3,292,0.996426248463818,0.21,21,0.197775600890426,20,12306,fishery-mean-normalized
32,R4,290,1.04751462306105,0.24,24,0.232217238271828,23,12306,fishery-mean-normalized
33,R5,292,0.990231135407572,0.23,23,0.212907454445183,21,12306,fishery-mean-normalized
