"role","file","source","source_commit","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.frq","847d036","2023 replication frequency/catch/size input from ofp-sam-2026-BET/mfcl/inputs/2023_rep"
"ini","bet.ini","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.ini","847d036","MFCL 1003 ini from 2023_rep; not promoted in this substep"
"tag","bet.tag","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.tag","847d036","2023 replication tag input; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.age_length","847d036","2023 replication CAAL input"
"doitall","doitall.sh","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/doitall.sh","847d036","current-executable 2023_rep controls with PROGRAM_PATH wrapper, PHASE 10/11 convergence switch, and 1003 ini tag mixing override retained"
