"source_job","group","n_used","mean_ess","median_ess","post_var_z"
12291,1,979,8.84726051629678,11.3636363636364,0.994574950704387
12291,2,156,11.2414514833035,11.6279069767442,0.994586941381248
12291,3,54,5.75014987562189,6.72343619402985,0.997542840509257
12291,4,93,11.195565925603,13.5135135135135,0.996363553168766
12291,5,46,6.13131043478261,3.56666666666667,0.990064003631202
12291,6,134,2.54717715768981,1.4304347826087,1.00207221297149
12291,7,240,1.30451301427372,1.11712846347607,1.00016640022335
12291,8,697,10.9238017082138,15.625,0.995522395549059
12291,0,2399,8.46901422859345,11.3636363636364,NA
