"role","file","source","note"
"frq","bet.frq","/home/kyuhank/Desktop/SPC/bet_2026_input_repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.wt.as.len.frq","chopped to records with year <= 2021; reset frq tag-group header to 90 to match the selected tag input"
"ini","bet.ini","/home/kyuhank/Desktop/SPC/ofp-sam-bet-2026-stepwise/steps/03-RegFish/model/bet.ini","FixM M row applied"
"tag","bet.tag","/home/kyuhank/Desktop/SPC/ofp-sam-bet-2026-stepwise/steps/03-RegFish/model/bet.tag","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","/home/kyuhank/Desktop/SPC/bet_2026_input_repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","CAAL input"
"doitall","doitall.sh","steps/03-RegFish/model/doitall.sh","03-RegFish 5-region controls retained"
