"role","file","source","source_commit","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2023.new-structure.global-cpue.wt-as-len.frq","d884ce5","copied without year chopping"
"ini","bet.ini","steps/04b-TagReportingMixing/model/bet.ini","1d055d3","FixM M row applied from 01-Diag2023 mgc=-5 final.par from Kflow job 000604"
"tag","bet.tag","steps/04b-TagReportingMixing/model/bet.tag","1d055d3","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","a26b694","CAAL input; set age_length effective sample size to 0.75 for 112 records"
"doitall","doitall.sh","steps/04b-TagReportingMixing/model/doitall.sh","1d055d3","mixing override removed; doitall exits immediately on MFCL command failure"
