"source_job","group","group_name","fisheries","status","n_used","variance_z","raw_multiplier","continuous_divisor","recommended_divisor"
12292,1,"Main longline","1,2,3,4,6,7,8,10,11","ok",979,87.6170262475706,0.0114133067832547,87.6170262475706,88
12292,2,"Offshore longline","5,9","ok",156,82.2918352908357,0.012151873833726,82.2918352908357,82
12292,3,"Purse seine, set type unavailable","12,17,18","ok",54,139.033623784111,0.00719250475376217,139.033623784111,139
12292,4,"Associated purse seine","19,25,26","ok",93,68.6671095767213,0.0145630128625511,68.6671095767213,69
12292,5,"Unassociated purse seine","20,27,28","ok",46,45.1758211273999,0.0221357348918996,45.1758211273999,45
12292,6,"Handline","14,15","ok",134,118.159926713045,0.0084631061292762,118.159926713045,118
12292,7,"Other extraction fisheries","13,16,21,22,23,24","ok",240,399.850664051713,0.00250093369826358,399.850664051713,400
12292,8,"Regional index fisheries","29,30,31,32,33","ok",697,72.7055156679992,0.0137541146749633,72.7055156679992,73
