fishery,index,n,lambda_raw_mean,source_sigma,source_flag92,sigma_mle,recommended_flag92,source_job,lambda_convention
29,R1,292,1.06073133485787,0.35,35,0.376786183915466,38,12291,fishery-mean-normalized
30,R2,292,1.02266273212514,0.24,24,0.255231476955913,26,12291,fishery-mean-normalized
31,R3,292,0.996426248463818,0.21,21,0.199048451326356,20,12291,fishery-mean-normalized
32,R4,290,1.04751462306105,0.24,24,0.234439881266622,23,12291,fishery-mean-normalized
33,R5,292,0.990231135407572,0.23,23,0.212942049415450,21,12291,fishery-mean-normalized
