"role","file","source","source_commit","note"
"frq","bet.frq","sensitivity/S002-TC1-NOCUT-DW1/model/bet.frq",,"Inherited from S002-TC1-NOCUT-DW1. Exact Job 5319 archived effort-crept bet.frq; SHA-256 d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c. For F21/F22/F23, observed LF counts are unchanged; no cutoff is applied. No FRQ transform is applied. Effort creep is not reapplied."
"ini","bet.ini","sensitivity/S002-TC1-NOCUT-DW1/model/bet.ini",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"tag","bet.tag","sensitivity/S002-TC1-NOCUT-DW1/model/bet.tag",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"age_length","bet.age_length","sensitivity/S002-TC1-NOCUT-DW1/model/bet.age_length",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"reg_scaling","bet.reg_scaling","sensitivity/S002-TC1-NOCUT-DW1/model/bet.reg_scaling",,"Inherited from S002-TC1-NOCUT-DW1. Rows 53:72 copied verbatim from the Job 5319 archived 292x5 bet.reg_scaling source, yielding exactly 20x5; fixed weight 50."
"doitall","doitall.sh","sensitivity/S002-TC1-NOCUT-DW1/model/doitall.sh",,"Inherited from S002-TC1-NOCUT-DW1. Exact Job 5319 archived doitall control sequence except parest flag 313=1 and three new flag-49 overrides for F21/F22/F23, each with divisor 20; inherited settings for every other fishery are unchanged. OPR-only changes: 155=71, 202=3, 217=1, 216=15, 218=50, 397=0."
"mfcl_config","mfcl.cfg","sensitivity/S002-TC1-NOCUT-DW1/model/mfcl.cfg",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"fishery_map","fishery_map.R","sensitivity/S002-TC1-NOCUT-DW1/model/fishery_map.R",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
"tag_reporting_map","tag_rep_map.R","sensitivity/S002-TC1-NOCUT-DW1/model/tag_rep_map.R",,"Inherited from S002-TC1-NOCUT-DW1. Byte-identical Job 5319 archived input; archived input-set SHA-256 993aa5e2d32f308ec8468765ddde35a08563c6ab4884c18f6f10660a5f1f37c4."
