"role","file","source","source_commit","note"
"frq","bet.frq","steps/04a-NewStructure/model/bet.frq","f5b209b","copied without year chopping"
"ini","bet.ini","steps/04a-NewStructure/model/bet.ini","f5b209b","FixM M row applied from 01-Diag2023 mgc=-5 final.par from Kflow job 000604; set tag_flags(it,2)=1 for 96 release groups so reporting rates are excluded from predicted tag catches during mixing"
"tag","bet.tag","steps/04a-NewStructure/model/bet.tag","f5b209b","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","steps/04a-NewStructure/model/bet.age_length","f5b209b","CAAL input; set age_length effective sample size to 0.75 for 112 records"
"doitall","doitall.sh","steps/04a-NewStructure/model/doitall.sh","f5b209b","mixing override removed; doitall exits immediately on MFCL command failure"
