"tag_event_row","event_type","fishery","reporting_group","source_candidate","old_target","old_penalty","old_mean","old_sd","new_target","new_penalty","new_mean","new_sd"
29,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
29,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
29,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
30,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
30,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
30,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
30,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
31,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
31,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
31,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
31,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
32,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
32,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
32,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
32,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
33,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
33,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
33,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
33,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
34,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
34,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
34,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
34,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
35,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
35,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
35,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
35,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
36,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
36,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
36,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
36,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
37,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
37,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
37,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
37,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
38,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
38,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
38,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
38,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
39,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
39,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
39,"release",27,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
39,"release",28,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
40,"release",25,17,"West",51.21,739.2,0.5121,0.026007824330515,52.015,336.854,0.52015,0.038527
40,"release",26,17,"East",52.82,231.2,0.5282,0.0465040832377703,52.015,336.854,0.52015,0.038527
