"fishery","index","n","mean_obs","mean_pred","mean_residual","weighted_variance_mle","current_sigma","current_flag92","sigma_mle","recommended_flag92","s1_sigma_mle","s1_recommended_flag92","sigma_difference_from_s1","flag92_difference_from_s1","numerical_sigma","numerical_difference"
29,"R1",292,"-5.58219178081475e-07","7.46575342465564e-06","-8.0239726027379e-06","0.135167978952209","0.35",35,"0.367651980753823",37,"0.370779590999799",37,"-0.0031276102459763",0,"0.36765197822374","2.53008303197078e-09"
30,"R2",292,"3.70890410958621e-06","9.58904109572304e-08","3.6130136986299e-06","0.0636087783754397","0.24",24,"0.252207807919263",25,"0.252125931763794",25,"8.18761554687852e-05",0,"0.252207808036425","1.1716172476639e-10"
31,"R3",292,"-1.9623287671226e-06","8.08219178080815e-07","-2.77054794520345e-06","0.0417689816040135","0.21",21,"0.204374610957461",20,"0.198129951372972",20,"0.00624465958448878",0,"0.204374608628477","2.32898364482814e-09"
32,"R4",290,"-1.86551724138073e-06","1.47793103448267e-06","-3.34344827586189e-06","0.0514248694712835","0.24",24,"0.226770521610027",23,"0.226889505500402",23,"-0.000118983890375374",0,"0.226770522990224","1.38019781714682e-09"
33,"R5",292,"5.58219178081979e-07","-2.71267123287475e-06","3.27089041095512e-06","0.0474272191382347","0.23",23,"0.217777912420509",22,"0.213955068269089",21,"0.00382284415141959",1,"0.217777913261731","8.41222314029721e-10"
